관광지명,주소,위도,경도,전화번호,콘텐츠ID,카테고리,관광지코드,지역코드
가는곶 세화,제주특별자치도 제주시 구좌읍 세화14길 3,33.5205279098,126.8606961680,,2850913,A05020900,39,39
가람,제주특별자치도 제주시 복지로북길 4,33.4888787305,126.5206569716,,2906155,A05020100,39,39
가람돌솥밥,제주특별자치도 서귀포시 중문관광로 332,33.2496843087,126.4313173340,,2755053,A05020100,39,39
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10,33.2365870334,126.5123383804,064-739-4499,1896032,B02010700,32,39
가마오름,제주특별자치도 제주시 한경면 청수리,33.3057279944,126.2466098987,,1884191,A01010400,12,39
가메창(암메),제주특별자치도 제주시 한경면 청수로 13-3,33.3209235283,126.2460707194,064-728-2742,1884202,A01010400,12,39
가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 가시리,33.4018299117,126.6876111209,,1884505,A01010400,12,39
가문잔치,제주특별자치도 서귀포시 칠십리로 191,33.2465785631,126.5732606548,064-732-9886,2650410,A05020100,39,39
가새기오름,제주특별자치도 제주시 오라삼동,33.4893700755,126.5038611983,064-740-6001,1884521,A01010400,12,39
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,33.3931758821,126.7231832338,,1885746,A01010400,12,39
가시리국산화풍력발전단지,제주특별자치도 서귀포시 표선면 녹산로 464-78,33.3939370848,126.7341100468,,3026711,A02040400,12,39
가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22,33.3531116357,126.7714466301,064-787-1035,1866904,A05020100,39,39
가시아방국수,제주특별자치도 서귀포시 성산읍 섭지코지로 10,33.4386517763,126.9180903016,,2791481,A05020100,39,39
가시어멍김밥,제주특별자치도 제주시 월랑로 36,33.4888641378,126.4763302701,,2837181,A05020100,39,39
가시오름,제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1,33.2236315617,126.2500169782,,1885754,A01010400,12,39
가을동화 감귤밭,제주특별자치도 서귀포시 서홍동,33.2556272247,126.5518123101,,3410648,A02030100,12,39
가파도,제주특별자치도 서귀포시 대정읍 가파로,33.1664326869,126.2735884192,,126446,A01011300,12,39
가파도 소망전망대,제주특별자치도 서귀포시 대정읍 가파리,33.1688017961,126.2688165585,,3344437,A02050600,12,39
가파도별미식당,제주특별자치도 서귀포시 대정읍 영서중로 59,33.2215375052,126.2600494870,,2805240,A05020100,39,39
가파도청보리축제,제주특별자치도 서귀포시 대정읍,33.1701766897,126.2717384970,064-764-7130,712175,A02070200,15,39
각시바위오름,제주특별자치도 서귀포시 호근동,33.2777271543,126.5259918298,,1887368,A01010400,12,39
갈마못(갈뫼못),제주특별자치도 서귀포시 표선면 성읍리,33.3873529469,126.8116979172,,1887381,A01010500,12,39
갈중이(천연염색체험),제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이,33.2351423980,126.3136584209,,635593,A02030200,12,39
갈치공장,제주특별자치도 제주시 해맞이해안로 1296,33.5319348245,126.8509745258,,2853435,A05020100,39,39
갈치왕,제주특별자치도 서귀포시 일주서로 1146,33.2646847924,126.3907760719,,2783304,A05020100,39,39
감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,33.2711819574,126.6080904173,,590415,A02060100,14,39
감귤카트,제주특별자치도 서귀포시 중문관광로 42 (색달동),33.2549473066,126.4116189256,,3030930,A03020600,28,39
감나무집,제주특별자치도 제주시 오남로 12,33.4941753491,126.5195597249,064-722-8292,1866954,A05020100,39,39
감낭오름,제주특별자치도 서귀포시 안덕면 동광리,33.3250274801,126.3497088457,,1887493,A01010400,12,39
